programName,programDescription,workoutDay,workoutTitle,exerciseName,exerciseDetails
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",1,"Full Body Strength A","Squats","4x8 reps"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",1,"Full Body Strength A","Bench Press","4x8 reps"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",1,"Full Body Strength A","Bent Over Rows","4x10 reps"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",2,"Lactate Threshold Run","Warm-up","10 min jog"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",2,"Lactate Threshold Run","Intervals","5x800m at threshold pace"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",2,"Lactate Threshold Run","Cool-down","10 min jog"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",3,"Active Recovery & Mobility","Light Cycling or Rowing","20 minutes"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",3,"Active Recovery & Mobility","Full Body Stretching","15 minutes"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",4,"HYROX Skills: Sleds","Sled Push","6x25m (heavy)"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",4,"HYROX Skills: Sleds","Sled Pull","6x25m (heavy)"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",4,"HYROX Skills: Sleds","Core Work","3x15 leg raises"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",5,"Full Body Strength B","Deadlifts","4x6 reps"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",5,"Full Body Strength B","Overhead Press","4x8 reps"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",5,"Full Body Strength B","Pull-ups","4x max reps"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",6,"Long Endurance","Steady State Run","60 minutes at a conversational pace"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",7,"HYROX Skills: Carries & Lunges","Farmer's Carry","5x100m"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",7,"HYROX Skills: Carries & Lunges","Sandbag Lunges","5x50m"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",8,"Full Body Strength A","Squats","4x8 reps (increase weight)"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",8,"Full Body Strength A","Bench Press","4x8 reps (increase weight)"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",8,"Full Body Strength A","Bent Over Rows","4x10 reps"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",9,"Lactate Threshold Run","Warm-up","10 min jog"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",9,"Lactate Threshold Run","Intervals","6x800m at threshold pace"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",9,"Lactate Threshold Run","Cool-down","10 min jog"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",10,"Active Recovery & Mobility","Swimming or Elliptical","25 minutes"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",10,"Active Recovery & Mobility","Foam Rolling","15 minutes"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",11,"HYROX Skills: Burpees & Wall Balls","Burpee Broad Jumps","5x10 reps"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",11,"HYROX Skills: Burpees & Wall Balls","Wall Balls","5x20 reps"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",12,"Full Body Strength B","Deadlifts","4x6 reps (increase weight)"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",12,"Full Body Strength B","Overhead Press","4x8 reps (increase weight)"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",12,"Full Body Strength B","Pull-ups","4x max reps"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",13,"Long Endurance","Steady State Run","65 minutes at a conversational pace"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",14,"Mini HYROX Simulation","Run","1km"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",14,"Mini HYROX Simulation","50 Wall Balls",""
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",14,"Mini HYROX Simulation","Run","1km"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",14,"Mini HYROX Simulation","50 Burpee Broad Jumps",""
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",15,"Full Body Strength A","Front Squats","4x10 reps"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",15,"Full Body Strength A","Incline Bench Press","4x10 reps"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",15,"Full Body Strength A","Dumbbell Rows","4x12 reps"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",16,"Tempo Run","Warm-up","10 min jog"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",16,"Tempo Run","Run","25 minutes at tempo pace"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",16,"Tempo Run","Cool-down","10 min jog"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",17,"Active Recovery & Mobility","Yoga or Dynamic Stretching","30 minutes"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",18,"HYROX Skills: Ergs","Ski Erg","5x500m intervals"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",18,"HYROX Skills: Ergs","Row Erg","5x500m intervals"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",19,"Full Body Strength B","Sumo Deadlifts","4x8 reps"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",19,"Full Body Strength B","Push Press","4x10 reps"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",19,"Full Body Strength B","Lat Pulldowns","4x12 reps"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",20,"Long Endurance","Steady State Run","70 minutes at a conversational pace"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",21,"Rest Day Simulation","Very light activity","e.g., a long walk"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",22,"Full Body Strength A","Squats","5x5 reps"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",22,"Full Body Strength A","Bench Press","5x5 reps"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",22,"Full Body Strength A","Bent Over Rows","5x8 reps"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",23,"Lactate Threshold Run","Warm-up","10 min jog"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",23,"Lactate Threshold Run","Intervals","4x1200m at threshold pace"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",23,"Lactate Threshold Run","Cool-down","10 min jog"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",24,"Active Recovery & Mobility","Light Row","20 minutes"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",24,"Active Recovery & Mobility","Hip Mobility Drills","15 minutes"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",25,"HYROX Chipper","For Time:","500m Ski, 40m Sled Push, 30 Burpees, 20 Sandbag Lunges, 10 Wall Balls"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",26,"Full Body Strength B","Deadlifts","5x4 reps"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",26,"Full Body Strength B","Overhead Press","5x5 reps"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",26,"Full Body Strength B","Weighted Pull-ups","5x5 reps"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",27,"Long Endurance","Steady State Run","75 minutes at a conversational pace"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",28,"HYROX Pacing Practice","Run","8x400m at race pace"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",28,"HYROX Pacing Practice","Rest","60 seconds between each"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",29,"Full Body Strength A","Squats","3x10 reps"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",29,"Full Body Strength A","Bench Press","3x10 reps"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",29,"Full Body Strength A","Bent Over Rows","3x12 reps"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",30,"Fartlek Run","Run","30 minutes: 1 min hard, 2 mins easy, repeat"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",31,"Active Recovery & Mobility","Gentle Swim","30 minutes"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",31,"Active Recovery & Mobility","Full Body Stretch","10 minutes"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",32,"HYROX Strength Endurance","EMOM 20 mins:","Min 1: 10 Wall Balls, Min 2: 15m Sled Push"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",33,"Full Body Strength B","Deadlifts","3x8 reps"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",33,"Full Body Strength B","Overhead Press","3x10 reps"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",33,"Full Body Strength B","Pull-ups","3x max reps"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",34,"Long Endurance","Steady State Run","80 minutes at a conversational pace"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",35,"Full HYROX Simulation (Test)","Complete a full HYROX simulation","Record your time for all stations and runs"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",36,"Deload Strength A","Squats","3x5 reps (light)"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",36,"Deload Strength A","Bench Press","3x5 reps (light)"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",37,"Easy Run","Jog","30 minutes, very easy pace"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",38,"Active Recovery & Mobility","Walk","45 minutes"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",38,"Active Recovery & Mobility","Stretching","15 minutes"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",39,"Light Skills Practice","Wall Balls","3x10 (form focus)"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",39,"Light Skills Practice","Rowing","1000m (easy technique focus)"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",40,"Deload Strength B","Romanian Deadlifts","3x8 reps (light)"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",40,"Deload Strength B","Light Overhead Press","3x8 reps (light)"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",41,"Short Shakeout Run","Jog","20 minutes with a few 30-second strides"
"6-Week Intensive Daily Training","A comprehensive 6-week program with a workout scheduled every day. Designed for intensive testing and preparation.",42,"Full Rest","Complete rest","Prepare for what's next!"
